"","Date","Song","Artist"
"1","1963-08-14","Days Of Wine And Roses","Andy Williams"
"2","1963-08-14","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"3","1963-08-14","West Side Story","Soundtrack"
"4","1963-08-14","(Moving)","Peter| Paul & Mary"
"5","1963-08-14","Trini Lopez At PJ's","Trini Lopez"
"6","1963-08-14","Peter; Paul And Mary","Peter| Paul & Mary"
"7","1963-08-14","Live At The Apollo","James Brown"
"8","1963-08-14","Shut Down","Various Artists"
"9","1963-08-14","Cleopatra","Soundtrack"
"10","1963-08-14","Bye Bye Birdie","Soundtrack"
"11","1963-08-21","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"12","1963-08-21","Trini Lopez At PJ's","Trini Lopez"
"13","1963-08-21","Days Of Wine And Roses","Andy Williams"
"14","1963-08-21","(Moving)","Peter| Paul & Mary"
"15","1963-08-21","My Son; The Nut","Allan Sherman"
"16","1963-08-21","West Side Story","Soundtrack"
"17","1963-08-21","Shut Down","Various Artists"
"18","1963-08-21","Live At The Apollo","James Brown"
"19","1963-08-21","Bye Bye Birdie","Soundtrack"
"20","1963-08-21","Peter; Paul And Mary","Peter| Paul & Mary"
"21","1963-08-28","My Son; The Nut","Allan Sherman"
"22","1963-08-28","Trini Lopez At PJ's","Trini Lopez"
"23","1963-08-28","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"24","1963-08-28","(Moving)","Peter| Paul & Mary"
"25","1963-08-28","Days Of Wine And Roses","Andy Williams"
"26","1963-08-28","West Side Story","Soundtrack"
"27","1963-08-28","Peter; Paul And Mary","Peter| Paul & Mary"
"28","1963-08-28","Bye Bye Birdie","Soundtrack"
"29","1963-08-28","Shut Down","Various Artists"
"30","1963-08-28","Cleopatra","Soundtrack"
"31","1963-09-04","My Son; The Nut","Allan Sherman"
"32","1963-09-04","Trini Lopez At PJ's","Trini Lopez"
"33","1963-09-04","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"34","1963-09-04","(Moving)","Peter| Paul & Mary"
"35","1963-09-04","Bye Bye Birdie","Soundtrack"
"36","1963-09-04","West Side Story","Soundtrack"
"37","1963-09-04","Peter; Paul And Mary","Peter| Paul & Mary"
"38","1963-09-04","Days Of Wine And Roses","Andy Williams"
"39","1963-09-04","Shut Down","Various Artists"
"40","1963-09-04","Lawrence Of Arabia","Soundtrack"
"41","1963-09-11","My Son; The Nut","Allan Sherman"
"42","1963-09-11","Trini Lopez At PJ's","Trini Lopez"
"43","1963-09-11","Bye Bye Birdie","Soundtrack"
"44","1963-09-11","(Moving)","Peter| Paul & Mary"
"45","1963-09-11","Peter; Paul And Mary","Peter| Paul & Mary"
"46","1963-09-11","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"47","1963-09-11","West Side Story","Soundtrack"
"48","1963-09-11","Days Of Wine And Roses","Andy Williams"
"49","1963-09-11","Sunny Side!","The Kingston Trio"
"50","1963-09-11","Live At The Apollo","James Brown"
"51","1963-09-18","My Son; The Nut","Allan Sherman"
"52","1963-09-18","Trini Lopez At PJ's","Trini Lopez"
"53","1963-09-18","Bye Bye Birdie","Soundtrack"
"54","1963-09-18","Peter; Paul And Mary","Peter| Paul & Mary"
"55","1963-09-18","(Moving)","Peter| Paul & Mary"
"56","1963-09-18","West Side Story","Soundtrack"
"57","1963-09-18","Sunny Side!","The Kingston Trio"
"58","1963-09-18","Live At The Apollo","James Brown"
"59","1963-09-18","Ingredients In A Recipe For Soul","Ray Charles"
"60","1963-09-18","Little Stevie Wonder/The 12 Year Old Genius","Stevie Wonder"
"61","1963-09-25","My Son; The Nut","Allan Sherman"
"62","1963-09-25","Trini Lopez At PJ's","Trini Lopez"
"63","1963-09-25","Bye Bye Birdie","Soundtrack"
"64","1963-09-25","Peter; Paul And Mary","Peter| Paul & Mary"
"65","1963-09-25","(Moving)","Peter| Paul & Mary"
"66","1963-09-25","Ingredients In A Recipe For Soul","Ray Charles"
"67","1963-09-25","Sunny Side!","The Kingston Trio"
"68","1963-09-25","West Side Story","Soundtrack"
"69","1963-09-25","Live At The Apollo","James Brown"
"70","1963-09-25","Days Of Wine And Roses","Andy Williams"
"71","1963-10-02","My Son; The Nut","Allan Sherman"
"72","1963-10-02","Bye Bye Birdie","Soundtrack"
"73","1963-10-02","Ingredients In A Recipe For Soul","Ray Charles"
"74","1963-10-02","Peter; Paul And Mary","Peter| Paul & Mary"
"75","1963-10-02","Trini Lopez At PJ's","Trini Lopez"
"76","1963-10-02","(Moving)","Peter| Paul & Mary"
"77","1963-10-02","Live At The Apollo","James Brown"
"78","1963-10-02","West Side Story","Soundtrack"
"79","1963-10-02","Sunny Side!","The Kingston Trio"
"80","1963-10-02","Days Of Wine And Roses","Andy Williams"
"81","1963-10-09","My Son; The Nut","Allan Sherman"
"82","1963-10-09","Ingredients In A Recipe For Soul","Ray Charles"
"83","1963-10-09","Trini Lopez At PJ's","Trini Lopez"
"84","1963-10-09","Bye Bye Birdie","Soundtrack"
"85","1963-10-09","Peter; Paul And Mary","Peter| Paul & Mary"
"86","1963-10-09","Live At The Apollo","James Brown"
"87","1963-10-09","(Moving)","Peter| Paul & Mary"
"88","1963-10-09","Shut Down","Various Artists"
"89","1963-10-09","Golden Records Vol. 3","Elvis Presley"
"90","1963-10-09","West Side Story","Soundtrack"
"91","1963-10-16","My Son; The Nut","Allan Sherman"
"92","1963-10-16","Ingredients In A Recipe For Soul","Ray Charles"
"93","1963-10-16","Trini Lopez At PJ's","Trini Lopez"
"94","1963-10-16","Peter; Paul And Mary","Peter| Paul & Mary"
"95","1963-10-16","Bye Bye Birdie","Soundtrack"
"96","1963-10-16","(Moving)","Peter| Paul & Mary"
"97","1963-10-16","Golden Records Vol. 3","Elvis Presley"
"98","1963-10-16","The Second Barbra Streisand Album","Barbra Streisand"
"99","1963-10-16","West Side Story","Soundtrack"
"100","1963-10-16","Shut Down","Various Artists"
"101","1963-10-23","Peter; Paul And Mary","Peter| Paul & Mary"
"102","1963-10-23","Bye Bye Birdie","Soundtrack"
"103","1963-10-23","My Son; The Nut","Allan Sherman"
"104","1963-10-23","(Moving)","Peter| Paul & Mary"
"105","1963-10-23","The Second Barbra Streisand Album","Barbra Streisand"
"106","1963-10-23","Ingredients In A Recipe For Soul","Ray Charles"
"107","1963-10-23","Golden Records Vol. 3","Elvis Presley"
"108","1963-10-23","West Side Story","Soundtrack"
"109","1963-10-23","Trini Lopez At PJ's","Trini Lopez"
"110","1963-10-23","Blue Velvet","Bobby Vinton"
"111","1963-10-30","In The Wind","Peter| Paul & Mary"
"112","1963-10-30","Peter; Paul And Mary","Peter| Paul & Mary"
"113","1963-10-30","Ingredients In A Recipe For Soul","Ray Charles"
"114","1963-10-30","Golden Records Vol. 3","Elvis Presley"
"115","1963-10-30","The Second Barbra Streisand Album","Barbra Streisand"
"116","1963-10-30","(Moving)","Peter| Paul & Mary"
"117","1963-10-30","Trini Lopez At PJ's","Trini Lopez"
"118","1963-10-30","Bye Bye Birdie","Soundtrack"
"119","1963-10-30","West Side Story","Soundtrack"
"120","1963-10-30","My Son; The Nut","Allan Sherman"
"121","1963-11-06","In The Wind","Peter| Paul & Mary"
"122","1963-11-06","The Second Barbra Streisand Album","Barbra Streisand"
"123","1963-11-06","Ingredients In A Recipe For Soul","Ray Charles"
"124","1963-11-06","Golden Records Vol. 3","Elvis Presley"
"125","1963-11-06","Trini Lopez At PJ's","Trini Lopez"
"126","1963-11-06","Peter; Paul And Mary","Peter| Paul & Mary"
"127","1963-11-06","(Moving)","Peter| Paul & Mary"
"128","1963-11-06","My Son; The Nut","Allan Sherman"
"129","1963-11-06","The Barbra Streisand Album","Barbra Streisand"
"130","1963-11-06","Bye Bye Birdie","Soundtrack"
"131","1963-11-13","In The Wind","Peter| Paul & Mary"
"132","1963-11-13","The Second Barbra Streisand Album","Barbra Streisand"
"133","1963-11-13","Golden Records Vol. 3","Elvis Presley"
"134","1963-11-13","Trini Lopez At PJ's","Trini Lopez"
"135","1963-11-13","Ingredients In A Recipe For Soul","Ray Charles"
"136","1963-11-13","(Moving)","Peter| Paul & Mary"
"137","1963-11-13","Bye Bye Birdie","Soundtrack"
"138","1963-11-13","Peter; Paul And Mary","Peter| Paul & Mary"
"139","1963-11-13","West Side Story","Soundtrack"
"140","1963-11-13","Painted; Tainted Rose","Al Martino"
"141","1963-11-20","In The Wind","Peter| Paul & Mary"
"142","1963-11-20","The Second Barbra Streisand Album","Barbra Streisand"
"143","1963-11-20","Golden Records Vol. 3","Elvis Presley"
"144","1963-11-20","Trini Lopez At PJ's","Trini Lopez"
"145","1963-11-20","Ingredients In A Recipe For Soul","Ray Charles"
"146","1963-11-20","Peter; Paul And Mary","Peter| Paul & Mary"
"147","1963-11-20","Surfer Girl","The Beach Boys"
"148","1963-11-20","The Singing Nun","The Singing Nun (Soeur Sourire)"
"149","1963-11-20","(Moving)","Peter| Paul & Mary"
"150","1963-11-20","Painted; Tainted Rose","Al Martino"
"151","1963-11-27","In The Wind","Peter| Paul & Mary"
"152","1963-11-27","The Singing Nun","The Singing Nun (Soeur Sourire)"
"153","1963-11-27","The Second Barbra Streisand Album","Barbra Streisand"
"154","1963-11-27","Trini Lopez At PJ's","Trini Lopez"
"155","1963-11-27","Peter; Paul And Mary","Peter| Paul & Mary"
"156","1963-11-27","Golden Records Vol. 3","Elvis Presley"
"157","1963-11-27","Surfer Girl","The Beach Boys"
"158","1963-11-27","Sinatra's Sinatra","Frank Sinatra"
"159","1963-11-27","Painted; Tainted Rose","Al Martino"
"160","1963-11-27","The Barbra Streisand Album","Barbra Streisand"
"161","1963-12-04","The Singing Nun","The Singing Nun (Soeur Sourire)"
"162","1963-12-04","In The Wind","Peter| Paul & Mary"
"163","1963-12-04","The Second Barbra Streisand Album","Barbra Streisand"
"164","1963-12-04","Peter; Paul And Mary","Peter| Paul & Mary"
"165","1963-12-04","Trini Lopez At PJ's","Trini Lopez"
"166","1963-12-04","Golden Records Vol. 3","Elvis Presley"
"167","1963-12-04","West Side Story","Soundtrack"
"168","1963-12-04","Sinatra's Sinatra","Frank Sinatra"
"169","1963-12-04","The Barbra Streisand Album","Barbra Streisand"
"170","1963-12-04","Ingredients In A Recipe For Soul","Ray Charles"
"171","1963-12-11","The Singing Nun","The Singing Nun (Soeur Sourire)"
"172","1963-12-11","In The Wind","Peter| Paul & Mary"
"173","1963-12-11","The Second Barbra Streisand Album","Barbra Streisand"
"174","1963-12-11","Trini Lopez At PJ's","Trini Lopez"
"175","1963-12-11","Golden Records Vol. 3","Elvis Presley"
"176","1963-12-11","Ingredients In A Recipe For Soul","Ray Charles"
"177","1963-12-11","Peter; Paul And Mary","Peter| Paul & Mary"
"178","1963-12-11","Surfer Girl","The Beach Boys"
"179","1963-12-11","West Side Story","Soundtrack"
"180","1963-12-11","(Moving)","Peter| Paul & Mary"
"181","1963-12-25","The Singing Nun","The Singing Nun (Soeur Sourire)"
"182","1963-12-25","In The Wind","Peter| Paul & Mary"
"183","1963-12-25","The Second Barbra Streisand Album","Barbra Streisand"
"184","1963-12-25","Trini Lopez At PJ's","Trini Lopez"
"185","1963-12-25","Washington Square","The Village Stompers"
"186","1963-12-25","Golden Records Vol. 3","Elvis Presley"
"187","1963-12-25","Peter; Paul And Mary","Peter| Paul & Mary"
"188","1963-12-25","West Side Story","Soundtrack"
"189","1963-12-25","Ingredients In A Recipe For Soul","Ray Charles"
"190","1963-12-25","(Moving)","Peter| Paul & Mary"
"191","1964-01-01","The Singing Nun","The Singing Nun (Soeur Sourire)"
"192","1964-01-01","In The Wind","Peter| Paul & Mary"
"193","1964-01-01","The Second Barbra Streisand Album","Barbra Streisand"
"194","1964-01-01","Golden Records Vol. 3","Elvis Presley"
"195","1964-01-01","Trini Lopez At PJ's","Trini Lopez"
"196","1964-01-01","West Side Story","Soundtrack"
"197","1964-01-01","Maria Elena","Los Indios Tabajaras"
"198","1964-01-01","Joan Baez In Concert; Part 2","Joan Baez"
"199","1964-01-01","Peter; Paul And Mary","Peter| Paul & Mary"
"200","1964-01-01","Little Deuce Coupe","The Beach Boys"
"201","1964-01-08","The Singing Nun","The Singing Nun (Soeur Sourire)"
"202","1964-01-08","In The Wind","Peter| Paul & Mary"
"203","1964-01-08","The Second Barbra Streisand Album","Barbra Streisand"
"204","1964-01-08","Fun In Acapulco","Elvis Presley"
"205","1964-01-08","West Side Story","Soundtrack"
"206","1964-01-08","Peter; Paul And Mary","Peter| Paul & Mary"
"207","1964-01-08","Maria Elena","Los Indios Tabajaras"
"208","1964-01-08","Joan Baez In Concert; Part 2","Joan Baez"
"209","1964-01-08","Little Deuce Coupe","The Beach Boys"
"210","1964-01-08","(Moving)","Peter| Paul & Mary"
"211","1964-01-15","The Singing Nun","The Singing Nun (Soeur Sourire)"
"212","1964-01-15","In The Wind","Peter| Paul & Mary"
"213","1964-01-15","Fun In Acapulco","Elvis Presley"
"214","1964-01-15","Peter; Paul And Mary","Peter| Paul & Mary"
"215","1964-01-15","West Side Story","Soundtrack"
"216","1964-01-15","The Second Barbra Streisand Album","Barbra Streisand"
"217","1964-01-15","Joan Baez In Concert; Part 2","Joan Baez"
"218","1964-01-15","(Moving)","Peter| Paul & Mary"
"219","1964-01-15","Little Deuce Coupe","The Beach Boys"
"220","1964-01-15","The Presidential Years 1960-1963  (narrated by David Teig)","John Fitzgerald Kennedy"
"221","1964-01-22","The Singing Nun","The Singing Nun (Soeur Sourire)"
"222","1964-01-22","In The Wind","Peter| Paul & Mary"
"223","1964-01-22","Fun In Acapulco","Elvis Presley"
"224","1964-01-22","West Side Story","Soundtrack"
"225","1964-01-22","Peter; Paul And Mary","Peter| Paul & Mary"
"226","1964-01-22","The Second Barbra Streisand Album","Barbra Streisand"
"227","1964-01-22","Joan Baez In Concert; Part 2","Joan Baez"
"228","1964-01-22","(Moving)","Peter| Paul & Mary"
"229","1964-01-22","Little Deuce Coupe","The Beach Boys"
"230","1964-01-22","The Presidential Years 1960-1963  (narrated by David Teig)","John Fitzgerald Kennedy"
"231","1964-01-29","The Singing Nun","The Singing Nun (Soeur Sourire)"
"232","1964-01-29","In The Wind","Peter| Paul & Mary"
"233","1964-01-29","Fun In Acapulco","Elvis Presley"
"234","1964-01-29","Peter; Paul And Mary","Peter| Paul & Mary"
"235","1964-01-29","Little Deuce Coupe","The Beach Boys"
"236","1964-01-29","That Was The Week That Was (BBC Telecast Tribute on 11/23/1963)","John Fitzgerald Kennedy"
"237","1964-01-29","West Side Story","Soundtrack"
"238","1964-01-29","The Presidential Years 1960-1963  (narrated by David Teig)","John Fitzgerald Kennedy"
"239","1964-01-29","Joan Baez In Concert; Part 2","Joan Baez"
"240","1964-01-29","(Moving)","Peter| Paul & Mary"
"241","1964-02-05","The Singing Nun","The Singing Nun (Soeur Sourire)"
"242","1964-02-05","In The Wind","Peter| Paul & Mary"
"243","1964-02-05","Meet The Beatles!","The Beatles"
"244","1964-02-05","Little Deuce Coupe","The Beach Boys"
"245","1964-02-05","That Was The Week That Was (BBC Telecast Tribute on 11/23/1963)","John Fitzgerald Kennedy"
"246","1964-02-05","Peter; Paul And Mary","Peter| Paul & Mary"
"247","1964-02-05","Fun In Acapulco","Elvis Presley"
"248","1964-02-05","The Presidential Years 1960-1963  (narrated by David Teig)","John Fitzgerald Kennedy"
"249","1964-02-05","West Side Story","Soundtrack"
"250","1964-02-05","The Second Barbra Streisand Album","Barbra Streisand"
"251","1964-02-12","Meet The Beatles!","The Beatles"
"252","1964-02-12","The Singing Nun","The Singing Nun (Soeur Sourire)"
"253","1964-02-12","In The Wind","Peter| Paul & Mary"
"254","1964-02-12","Little Deuce Coupe","The Beach Boys"
"255","1964-02-12","West Side Story","Soundtrack"
"256","1964-02-12","Peter; Paul And Mary","Peter| Paul & Mary"
"257","1964-02-12","(Moving)","Peter| Paul & Mary"
"258","1964-02-12","Joan Baez In Concert; Part 2","Joan Baez"
"259","1964-02-12","The Second Barbra Streisand Album","Barbra Streisand"
"260","1964-02-12","Honey In The Horn","Al Hirt"
"261","1964-02-19","Meet The Beatles!","The Beatles"
"262","1964-02-19","The Singing Nun","The Singing Nun (Soeur Sourire)"
"263","1964-02-19","Introducing...The Beatles","The Beatles"
"264","1964-02-19","In The Wind","Peter| Paul & Mary"
"265","1964-02-19","Honey In The Horn","Al Hirt"
"266","1964-02-19","Charade","Henry Mancini"
"267","1964-02-19","Joan Baez In Concert; Part 2","Joan Baez"
"268","1964-02-19","Peter; Paul And Mary","Peter| Paul & Mary"
"269","1964-02-19","Fun In Acapulco","Elvis Presley"
"270","1964-02-19","Little Deuce Coupe","The Beach Boys"
"271","1964-02-26","Meet The Beatles!","The Beatles"
"272","1964-02-26","Introducing...The Beatles","The Beatles"
"273","1964-02-26","In The Wind","Peter| Paul & Mary"
"274","1964-02-26","The Singing Nun","The Singing Nun (Soeur Sourire)"
"275","1964-02-26","Honey In The Horn","Al Hirt"
"276","1964-02-26","Charade","Henry Mancini"
"277","1964-02-26","Fun In Acapulco","Elvis Presley"
"278","1964-02-26","Joan Baez In Concert; Part 2","Joan Baez"
"279","1964-02-26","The Wonderful World Of Andy Williams","Andy Williams"
"280","1964-02-26","The Second Barbra Streisand Album","Barbra Streisand"
"281","1964-03-04","Meet The Beatles!","The Beatles"
"282","1964-03-04","Introducing...The Beatles","The Beatles"
"283","1964-03-04","Honey In The Horn","Al Hirt"
"284","1964-03-04","In The Wind","Peter| Paul & Mary"
"285","1964-03-04","The Singing Nun","The Singing Nun (Soeur Sourire)"
"286","1964-03-04","Yesterday's Love Songs/Today's Blues","Nancy Wilson"
"287","1964-03-04","Charade","Henry Mancini"
"288","1964-03-04","Hello; Dolly!","Original Cast"
"289","1964-03-04","The Wonderful World Of Andy Williams","Andy Williams"
"290","1964-03-04","There! I've Said It Again","Bobby Vinton"
"291","1964-03-11","Meet The Beatles!","The Beatles"
"292","1964-03-11","Introducing...The Beatles","The Beatles"
"293","1964-03-11","Honey In The Horn","Al Hirt"
"294","1964-03-11","Yesterday's Love Songs/Today's Blues","Nancy Wilson"
"295","1964-03-11","Hello; Dolly!","Original Cast"
"296","1964-03-11","The Singing Nun","The Singing Nun (Soeur Sourire)"
"297","1964-03-11","Charade","Henry Mancini"
"298","1964-03-11","The Third Album","Barbra Streisand"
"299","1964-03-11","In The Wind","Peter| Paul & Mary"
"300","1964-03-11","There! I've Said It Again","Bobby Vinton"
"301","1964-03-18","Meet The Beatles!","The Beatles"
"302","1964-03-18","Introducing...The Beatles","The Beatles"
"303","1964-03-18","Honey In The Horn","Al Hirt"
"304","1964-03-18","Hello; Dolly!","Original Cast"
"305","1964-03-18","The Third Album","Barbra Streisand"
"306","1964-03-18","Yesterday's Love Songs/Today's Blues","Nancy Wilson"
"307","1964-03-18","In The Wind","Peter| Paul & Mary"
"308","1964-03-18","The Singing Nun","The Singing Nun (Soeur Sourire)"
"309","1964-03-18","The Wonderful World Of Andy Williams","Andy Williams"
"310","1964-03-18","Charade","Henry Mancini"
"311","1964-03-25","Meet The Beatles!","The Beatles"
"312","1964-03-25","Introducing...The Beatles","The Beatles"
"313","1964-03-25","Honey In The Horn","Al Hirt"
"314","1964-03-25","Hello; Dolly!","Original Cast"
"315","1964-03-25","The Third Album","Barbra Streisand"
"316","1964-03-25","In The Wind","Peter| Paul & Mary"
"317","1964-03-25","Yesterday's Love Songs/Today's Blues","Nancy Wilson"
"318","1964-03-25","There! I've Said It Again","Bobby Vinton"
"319","1964-03-25","Peter; Paul And Mary","Peter| Paul & Mary"
"320","1964-03-25","The Wonderful World Of Andy Williams","Andy Williams"
"321","1964-04-01","Meet The Beatles!","The Beatles"
"322","1964-04-01","Introducing...The Beatles","The Beatles"
"323","1964-04-01","Honey In The Horn","Al Hirt"
"324","1964-04-01","Hello; Dolly!","Original Cast"
"325","1964-04-01","The Third Album","Barbra Streisand"
"326","1964-04-01","In The Wind","Peter| Paul & Mary"
"327","1964-04-01","Yesterday's Love Songs/Today's Blues","Nancy Wilson"
"328","1964-04-01","There! I've Said It Again","Bobby Vinton"
"329","1964-04-01","Peter; Paul And Mary","Peter| Paul & Mary"
"330","1964-04-01","Charade","Henry Mancini"
"331","1964-04-08","Meet The Beatles!","The Beatles"
"332","1964-04-08","Introducing...The Beatles","The Beatles"
"333","1964-04-08","Honey In The Horn","Al Hirt"
"334","1964-04-08","Hello; Dolly!","Original Cast"
"335","1964-04-08","The Third Album","Barbra Streisand"
"336","1964-04-08","Charade","Henry Mancini"
"337","1964-04-08","In The Wind","Peter| Paul & Mary"
"338","1964-04-08","Yesterday's Love Songs/Today's Blues","Nancy Wilson"
"339","1964-04-08","There! I've Said It Again","Bobby Vinton"
"340","1964-04-08","Dawn (Go Away) And 11 Other Great Songs","The 4 Seasons"
"341","1964-04-15","Meet The Beatles!","The Beatles"
"342","1964-04-15","Introducing...The Beatles","The Beatles"
"343","1964-04-15","Honey In The Horn","Al Hirt"
"344","1964-04-15","Hello; Dolly!","Original Cast"
"345","1964-04-15","The Third Album","Barbra Streisand"
"346","1964-04-15","Dawn (Go Away) And 11 Other Great Songs","The 4 Seasons"
"347","1964-04-15","In The Wind","Peter| Paul & Mary"
"348","1964-04-15","Charade","Henry Mancini"
"349","1964-04-15","Sweet & Sour Tears","Ray Charles"
"350","1964-04-15","Pure Dynamite! Live At The Royal","James Brown"
"351","1964-04-22","Meet The Beatles!","The Beatles"
"352","1964-04-22","Introducing...The Beatles","The Beatles"
"353","1964-04-22","Honey In The Horn","Al Hirt"
"354","1964-04-22","Hello; Dolly!","Original Cast"
"355","1964-04-22","The Third Album","Barbra Streisand"
"356","1964-04-22","Dawn (Go Away) And 11 Other Great Songs","The 4 Seasons"
"357","1964-04-22","Glad All Over","The Dave Clark Five"
"358","1964-04-22","In The Wind","Peter| Paul & Mary"
"359","1964-04-22","Sweet & Sour Tears","Ray Charles"
"360","1964-04-22","Kissin' Cousins","Elvis Presley"
"361","1964-04-29","The Beatles' Second Album","The Beatles"
"362","1964-04-29","Meet The Beatles!","The Beatles"
"363","1964-04-29","Hello; Dolly!","Original Cast"
"364","1964-04-29","Introducing...The Beatles","The Beatles"
"365","1964-04-29","Honey In The Horn","Al Hirt"
"366","1964-04-29","Kissin' Cousins","Elvis Presley"
"367","1964-04-29","Glad All Over","The Dave Clark Five"
"368","1964-04-29","The Third Album","Barbra Streisand"
"369","1964-04-29","Dawn (Go Away) And 11 Other Great Songs","The 4 Seasons"
"370","1964-04-29","In The Wind","Peter| Paul & Mary"
"371","1964-05-06","The Beatles' Second Album","The Beatles"
"372","1964-05-06","Meet The Beatles!","The Beatles"
"373","1964-05-06","Hello; Dolly!","Original Cast"
"374","1964-05-06","Glad All Over","The Dave Clark Five"
"375","1964-05-06","Honey In The Horn","Al Hirt"
"376","1964-05-06","Kissin' Cousins","Elvis Presley"
"377","1964-05-06","Introducing...The Beatles","The Beatles"
"378","1964-05-06","The Third Album","Barbra Streisand"
"379","1964-05-06","Dawn (Go Away) And 11 Other Great Songs","The 4 Seasons"
"380","1964-05-06","Days Of Wine And Roses; Moon River; And Other Academy Award Winners","Frank Sinatra"
"381","1964-05-13","The Beatles' Second Album","The Beatles"
"382","1964-05-13","Hello; Dolly!","Original Cast"
"383","1964-05-13","Meet The Beatles!","The Beatles"
"384","1964-05-13","Glad All Over","The Dave Clark Five"
"385","1964-05-13","Honey In The Horn","Al Hirt"
"386","1964-05-13","Kissin' Cousins","Elvis Presley"
"387","1964-05-13","Introducing...The Beatles","The Beatles"
"388","1964-05-13","Funny Girl","Barbra Streisand"
"389","1964-05-13","The Third Album","Barbra Streisand"
"390","1964-05-13","Days Of Wine And Roses; Moon River; And Other Academy Award Winners","Frank Sinatra"
"391","1964-05-20","The Beatles' Second Album","The Beatles"
"392","1964-05-20","Hello; Dolly!","Original Cast"
"393","1964-05-20","Glad All Over","The Dave Clark Five"
"394","1964-05-20","Funny Girl","Barbra Streisand"
"395","1964-05-20","Meet The Beatles!","The Beatles"
"396","1964-05-20","Honey In The Horn","Al Hirt"
"397","1964-05-20","Kissin' Cousins","Elvis Presley"
"398","1964-05-20","Introducing...The Beatles","The Beatles"
"399","1964-05-20","The Third Album","Barbra Streisand"
"400","1964-05-20","In The Wind","Peter| Paul & Mary"
"401","1964-05-27","The Beatles' Second Album","The Beatles"
"402","1964-05-27","Hello; Dolly!","Original Cast"
"403","1964-05-27","Funny Girl","Barbra Streisand"
"404","1964-05-27","Hello Dolly!","Louis Armstrong"
"405","1964-05-27","Meet The Beatles!","The Beatles"
"406","1964-05-27","Honey In The Horn","Al Hirt"
"407","1964-05-27","Glad All Over","The Dave Clark Five"
"408","1964-05-27","The Academy Award Winning ""Call Me Irresponsible""","Andy Williams"
"409","1964-05-27","The Third Album","Barbra Streisand"
"410","1964-05-27","Introducing...The Beatles","The Beatles"
"411","1964-06-03","Hello; Dolly!","Original Cast"
"412","1964-06-03","Funny Girl","Barbra Streisand"
"413","1964-06-03","Hello Dolly!","Louis Armstrong"
"414","1964-06-03","The Beatles' Second Album","The Beatles"
"415","1964-06-03","The Academy Award Winning ""Call Me Irresponsible""","Andy Williams"
"416","1964-06-03","Meet The Beatles!","The Beatles"
"417","1964-06-03","Honey In The Horn","Al Hirt"
"418","1964-06-03","Glad All Over","The Dave Clark Five"
"419","1964-06-03","Today","The New Christy Minstrels"
"420","1964-06-03","The Third Album","Barbra Streisand"
"421","1964-06-10","Hello Dolly!","Louis Armstrong"
"422","1964-06-10","Funny Girl","Barbra Streisand"
"423","1964-06-10","Hello; Dolly!","Original Cast"
"424","1964-06-10","The Beatles' Second Album","The Beatles"
"425","1964-06-10","The Academy Award Winning ""Call Me Irresponsible""","Andy Williams"
"426","1964-06-10","Honey In The Horn","Al Hirt"
"427","1964-06-10","Meet The Beatles!","The Beatles"
"428","1964-06-10","Glad All Over","The Dave Clark Five"
"429","1964-06-10","Today","The New Christy Minstrels"
"430","1964-06-10","The Third Album","Barbra Streisand"
"431","1964-06-17","Hello Dolly!","Louis Armstrong"
"432","1964-06-17","Funny Girl","Barbra Streisand"
"433","1964-06-17","Hello; Dolly!","Original Cast"
"434","1964-06-17","The Beatles' Second Album","The Beatles"
"435","1964-06-17","The Academy Award Winning ""Call Me Irresponsible""","Andy Williams"
"436","1964-06-17","Honey In The Horn","Al Hirt"
"437","1964-06-17","The Third Album","Barbra Streisand"
"438","1964-06-17","Cotton Candy","Al Hirt"
"439","1964-06-17","Meet The Beatles!","The Beatles"
"440","1964-06-17","Glad All Over","The Dave Clark Five"
"441","1964-06-24","Hello Dolly!","Louis Armstrong"
"442","1964-06-24","Hello; Dolly!","Original Cast"
"443","1964-06-24","Funny Girl","Barbra Streisand"
"444","1964-06-24","The Beatles' Second Album","The Beatles"
"445","1964-06-24","The Third Album","Barbra Streisand"
"446","1964-06-24","Cotton Candy","Al Hirt"
"447","1964-06-24","The Academy Award Winning ""Call Me Irresponsible""","Andy Williams"
"448","1964-06-24","Honey In The Horn","Al Hirt"
"449","1964-06-24","Meet The Beatles!","The Beatles"
"450","1964-06-24","Today; Tomorrow; Forever","Nancy Wilson"
"451","1964-07-01","Hello Dolly!","Louis Armstrong"
"452","1964-07-01","Hello; Dolly!","Original Cast"
"453","1964-07-01","Funny Girl","Barbra Streisand"
"454","1964-07-01","The Beatles' Second Album","The Beatles"
"455","1964-07-01","The Third Album","Barbra Streisand"
"456","1964-07-01","Cotton Candy","Al Hirt"
"457","1964-07-01","Getz/Gilberto","Stan Getz And Joao Gilberto Featuring Antonio Carlos Jobim"
"458","1964-07-01","The Academy Award Winning ""Call Me Irresponsible""","Andy Williams"
"459","1964-07-01","Glad All Over","The Dave Clark Five"
"460","1964-07-01","Today; Tomorrow; Forever","Nancy Wilson"
